,study,ecosystem,population,latitude,longitude,acc_temp_1,acc_temp_2,limit_1,limit_2,ARR,limit_type,upper_lower,sex,mean_temp,temp_range,acc_time,taxon,phylum,common_name,model_arr,lat_slope,range_slope,lim_slope
346,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,47.2,47.33333333,0.022222222,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
347,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,47.5,47,-0.25,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
348,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,47.5,47.33333333,-0.041666667,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
349,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,47,47.33333333,0.166666665,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
350,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,7.166666667,6.666666667,-0.25,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
351,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,7.166666667,7.333333333,0.041666666,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
352,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,7.166666667,8,0.138888889,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
353,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,7.166666667,6.75,-0.052083333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
354,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,6.666666667,7.333333333,0.333333333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
355,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,6.666666667,8,0.333333333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
356,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,6.666666667,6.75,0.013888889,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
357,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,7.333333333,8,0.333333334,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
358,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,7.333333333,6.75,-0.145833333,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
359,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,8,6.75,-0.625,CTmin,lower,female,12.37666667,33.6775,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
360,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,46.71428571,47.04807692,0.166895605,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
361,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,46.71428571,47.42105263,0.17669173,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
362,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,46.71428571,47.15662651,0.073723467,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
363,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,46.71428571,47.575,0.107589286,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
364,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,47.04807692,47.42105263,0.186487855,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
365,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,47.04807692,47.15662651,0.027137398,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
366,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,47.04807692,47.575,0.087820513,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
367,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,47.42105263,47.15662651,-0.13221306,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
368,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,47.42105263,47.575,0.038486843,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
369,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,47.15662651,47.575,0.209186745,CTmax,upper,uncertain,12.37666667,33.6775,2,103,2,3,0.091498909,-0.04068836,-0.112661972,-0.00977822
370,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,5.821052632,5.529411765,-0.145820434,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
371,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,5.821052632,5.597402597,-0.055912509,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
372,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,5.821052632,5.975903614,0.025808497,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
373,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,5.821052632,5.6125,-0.026069079,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
374,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,5.529411765,5.597402597,0.033995416,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
375,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,5.529411765,5.975903614,0.111622962,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
376,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,29,5.529411765,5.6125,0.013848039,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
377,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,27,5.597402597,5.975903614,0.189250509,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
378,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,25,29,5.597402597,5.6125,0.003774351,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
379,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,27,29,5.975903614,5.6125,-0.181701807,CTmin,lower,uncertain,12.37666667,33.6775,2,103,2,3,0.001469329,-0.04068836,-0.112661972,-0.00977822
380,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,23,46.8,47.8,0.5,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
381,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,25,46.8,47.42857143,0.157142858,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
382,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,27,46.8,47.4,0.1,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
383,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,46.8,47.25,0.05625,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
384,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,25,47.8,47.42857143,-0.185714285,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
385,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,27,47.8,47.4,-0.1,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
386,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,23,29,47.8,47.25,-0.091666667,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
387,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,25,27,47.42857143,47.4,-0.014285715,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
388,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,25,29,47.42857143,47.25,-0.044642857,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
389,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,27,29,47.4,47.25,-0.075,CTmax,upper,female,12.54486111,33.64875,2,103,2,3,0.025,-0.04068836,-0.112661972,-0.00977822
390,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,23,5.6,9,1.7,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
391,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,25,5.6,6,0.1,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
392,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,27,5.6,5.714285714,0.019047619,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
393,Diamond_et_al_2018,terrestrial,Cin_urban,39.14146592,-84.5232195,21,29,5.6,6,0.05,CTmin,lower,female,12.54486111,33.64875,2,103,2,3,-0.124285714,-0.04068836,-0.112661972,-0.00977822
