Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Vid	Vid45	14	34	y	y	0,438	max	resist	20/10/15
Vid	Vid46	14	36,6	y	y	0,53	max	resist	20/10/15
Vid	Vid47	14	34	y	y	0,42	max	resist	20/10/15
Vid	Vid48	14	34	y	y	0,489	max	resist	20/10/15
Vid	Vid49	14	34,4	y	y	0,363	max	resist	20/10/15
Vid	Vid50	14	34	y	y	0,499	max	resist	20/10/15
Vid	Vid51	14	-2,6	y	y	0,583	min	huber	20/10/15
Vid	Vid52	14	-2	y	y	0,879	min	huber	20/10/15
Vid	Vid53	14	-2	y	y	0,736	min	huber	20/10/15
Vid	Vid54	14	-1,8	y	NA	NA	min	huber	20/10/15
Vid	Vid55	14	-2,4	y	y	0,7	min	huber	20/10/15
Vid	Vid56	14	-2	y	y	0,495	min	huber	20/10/15
Vid	Vid57	14	35,1	y	y	1,01	max	resist	21/10/15
Vid	Vid58	14	36,9	y	y	0,55	max	resist	21/10/15
Vid	Vid59	14	35,4	y	NA	NA	max	resist	21/10/15
Vid	Vid60	24	36	y	y	0,224	max	resist	21/10/15
Vid	Vid61	24	34,6	y	y	0,263	max	resist	21/10/15
Vid	Vid62	24	37,2	y	y	0,334	max	resist	21/10/15
Vid	Vid63	14	-2,1	y	y	0,807	min	huber	21/10/15
Vid	Vid64	14	-2,2	y	y	0,616	min	huber	21/10/15
Vid	Vid65	14	-2	y	y	0,484	min	huber	21/10/15
Vid	Vid66	24	-1	y	y	0,521	min	huber	21/10/15
Vid	Vid67	24	-1,6	y	y	0,482	min	huber	21/10/15
Vid	Vid68	24	-1,6	y	y	0,508	min	huber	21/10/15
Vid	Vid69	14	-3	y	y	0,862	min	huber	22/10/15
Vid	Vid70	14	-2,6	y	y	0,357	min	huber	22/10/15
Vid	Vid71	14	-2,4	y	y	0,372	min	huber	22/10/15
Vid	Vid72	14	-2,7	y	y	0,408	min	huber	22/10/15
Vid	Vid73	14	-2	y	y	0,236	min	huber	22/10/15
Vid	Vid74	24	-2,4	y	y	1,177	min	huber	26/10/15
Vid	Vid75	24	-3	y	y	0,336	min	huber	26/10/15
Vid	Vid76	24	-2,6	y	y	0,599	min	huber	26/10/15
Vid	Vid77	24	-2,2	y	y	0,484	min	huber	26/10/15
Vid	Vid78	24	-2,1	y	y	0,518	min	huber	26/10/15
Vid	Vid79	24	-2	y	y	0,53	min	huber	26/10/15
Tor	Tor1	24	-0,4	y	y	0,111	min	huber	7/6/16
Tor	Tor2	24	0,4	y	y	0,133	min	huber	7/6/16
Tor	Tor3	24	-0,4	y	y	0,159	min	huber	7/6/16
Tor	Tor4	24	0,4	y	y	0,123	min	huber	7/6/16
